"graph","subject","type","http://schema.org/ratingCount","http://schema.org/wordCount","http://schema.org/height","http://schema.org/actors","http://schema.org/sameAs","http://schema.org/musicBy","http://schema.org/jobTitle","http://schema.org/keywords","http://schema.org/reviewBody","http://schema.org/itemListElement","http://schema.org/thumbnail","http://schema.org/dateCreated","http://schema.org/url","http://schema.org/givenName","http://schema.org/subtitleLanguage","http://schema.org/mainEntityOfPage","http://schema.org/countryOfOrigin","http://schema.org/publisher","http://schema.org/worstRating","http://schema.org/potentialAction","http://schema.org/isPartOf","http://schema.org/video","http://schema.org/review","http://schema.org/interactionStatistic","http://schema.org/bestRating","http://schema.org/target","http://schema.org/reviewRating","http://schema.org/uploadDate","http://schema.org/genre","http://schema.org/contentRating","http://schema.org/caption","http://schema.org/image","http://schema.org/description","http://schema.org/logo","http://schema.org/thumbnailUrl","http://schema.org/itemReviewed","http://schema.org/articleSection","http://schema.org/workExample","http://schema.org/datePublished","http://schema.org/urlTemplate","http://schema.org/alternativeHeadline","http://schema.org/dateModified","http://schema.org/aggregateRating","http://schema.org/userInteractionCount","http://schema.org/reviewCount","http://schema.org/worksFor","http://schema.org/about","http://schema.org/contentUrl","http://schema.org/inLanguage","http://schema.org/interactionType","http://schema.org/headline","http://schema.org/query-input","http://schema.org/name","http://schema.org/duration","http://schema.org/item","http://schema.org/copyrightYear","http://schema.org/isAccessibleForFree","http://schema.org/breadcrumb","http://schema.org/director","http://schema.org/actor","http://schema.org/trailer","http://schema.org/URL","http://schema.org/copyrightHolder","http://schema.org/position","http://schema.org/author","http://schema.org/isFamilyFriendly","http://schema.org/productionCompany","http://schema.org/primaryImageOfPage","http://schema.org/ratingValue","http://schema.org/width","http://schema.org/embedUrl"
"https://adria.ign.com/spider-man-no-way-home/34871/news/tom-holland-ostaje-u-ulozi-spider-mana-nakon-nastavka-no-way-home","https://adria.ign.com/spider-man-no-way-home","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""Spider-Man: No Way Home""","","","","","","","","","","","","","","","","","",""
"https://adria.ign.com/spider-man-no-way-home/34871/news/tom-holland-ostaje-u-ulozi-spider-mana-nakon-nastavka-no-way-home","n591af48ebf5d4ff88ed6e894312c05e4xb0","http://schema.org/NewsArticle","","","","","","","","","","","","","","","","<https://adria.ign.com/spider-man-no-way-home/34871/news/tom-holland-ostaje-u-ulozi-spider-mana-nakon-nastavka-no-way-home>","","_:n591af48ebf5d4ff88ed6e894312c05e4xb5","","","","","","","","","","","","","","_:n591af48ebf5d4ff88ed6e894312c05e4xb4","","","","","","","""2021-11-30 14:02:48+00:00""^^<http://schema.org/Date>","","","""2021-11-30T15:35:28+00:00""^^<http://schema.org/Date>","","","","","_:n591af48ebf5d4ff88ed6e894312c05e4xb1","","""sr-latn""","","""Tom Holland OSTAJE U ULOZI Spider-Mana nakon filma Spider-Man: No Way Home""","","","","","","","","","","","","","","_:n591af48ebf5d4ff88ed6e894312c05e4xb3","","","","","",""
"https://adria.ign.com/spider-man-no-way-home/34871/news/tom-holland-ostaje-u-ulozi-spider-mana-nakon-nastavka-no-way-home","https://adria.ign.com/news/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""Vesti""","","","","","","","","","","","","","","","","","",""
"https://adria.ign.com/spider-man-no-way-home/34871/news/tom-holland-ostaje-u-ulozi-spider-mana-nakon-nastavka-no-way-home","n591af48ebf5d4ff88ed6e894312c05e4xb1","http://schema.org/Movie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","_:n591af48ebf5d4ff88ed6e894312c05e4xb2","""Spider-Man: No Way Home is third live-action film in the Homecoming / Far From Home series of webslinger movies starring Tom Holland.""","","","","","","","","","","","","","","","","","","","","""Spider-Man: No Way Home""","","","","","","","","","","","","","","","","","",""
"https://adria.ign.com/spider-man-no-way-home/34871/news/tom-holland-ostaje-u-ulozi-spider-mana-nakon-nastavka-no-way-home","n591af48ebf5d4ff88ed6e894312c05e4xb4","http://schema.org/ImageObject","","","""1080""^^<http://www.w3.org/2001/XMLSchema#integer>","","","","","","","","","","<https://sm.ign.com/ign_sr/news/t/tom-hollan/tom-holland-will-remain-the-mcus-spider-man-after-no-way-hom_sssp.jpg>","","","","","","","","","","","","","","","","","","""Tom Holland Will Remain the MCU's Spider-Man After No Way Home""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""1920""^^<http://www.w3.org/2001/XMLSchema#integer>",""
"https://adria.ign.com/spider-man-no-way-home/34871/news/tom-holland-ostaje-u-ulozi-spider-mana-nakon-nastavka-no-way-home","n591af48ebf5d4ff88ed6e894312c05e4xb5","http://schema.org/Organization","","","","","","","","","","","","","<https://adria.ign.com>","","","","","","","","","","","","","","","","","","","","","_:n591af48ebf5d4ff88ed6e894312c05e4xb6","","","","","","","","","","","","","","","","","","","""IGN Adria""","","","","","","","","","","","","","","","","","",""
"https://adria.ign.com/spider-man-no-way-home/34871/news/tom-holland-ostaje-u-ulozi-spider-mana-nakon-nastavka-no-way-home","n591af48ebf5d4ff88ed6e894312c05e4xb2","http://schema.org/ImageObject","","","""750""^^<http://www.w3.org/2001/XMLSchema#integer>","","","","","","","","","","<https://sm.ign.com/ign_sr/cover/s/spider-man/spider-man-no-way-home_4334.jpg>","","","","","","","","","","","","","","","","","","""Spider-Man: No Way Home""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""750""^^<http://www.w3.org/2001/XMLSchema#integer>",""
"https://adria.ign.com/spider-man-no-way-home/34871/news/tom-holland-ostaje-u-ulozi-spider-mana-nakon-nastavka-no-way-home","n6894437c6a334ab5940484d4a029ea2dxb2","http://schema.org/ListItem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<https://adria.ign.com/spider-man-no-way-home>","","","","","","","","","""2""^^<http://www.w3.org/2001/XMLSchema#integer>","","","","","","",""
"https://adria.ign.com/spider-man-no-way-home/34871/news/tom-holland-ostaje-u-ulozi-spider-mana-nakon-nastavka-no-way-home","n591af48ebf5d4ff88ed6e894312c05e4xb3","http://schema.org/Person","","","","","","","""Pop kultura urednica""","","","","","","<https://adria.ign.com/u/marija-milanovic>","""Marija""","","","","","","","","","","","","","","","","","","<https://sm.ign.com/ign_sr/user/m/marija-mil/marija-milanovic_2wvg.jpg>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://adria.ign.com/spider-man-no-way-home/34871/news/tom-holland-ostaje-u-ulozi-spider-mana-nakon-nastavka-no-way-home","n6894437c6a334ab5940484d4a029ea2dxb0","http://schema.org/BreadcrumbList","","","","","","","","","","_:n6894437c6a334ab5940484d4a029ea2dxb1||||_:n6894437c6a334ab5940484d4a029ea2dxb2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://adria.ign.com/spider-man-no-way-home/34871/news/tom-holland-ostaje-u-ulozi-spider-mana-nakon-nastavka-no-way-home","n6894437c6a334ab5940484d4a029ea2dxb1","http://schema.org/ListItem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<https://adria.ign.com/news/>","","","","","","","","","""1""^^<http://www.w3.org/2001/XMLSchema#integer>","","","","","","",""
"https://adria.ign.com/spider-man-no-way-home/34871/news/tom-holland-ostaje-u-ulozi-spider-mana-nakon-nastavka-no-way-home","n591af48ebf5d4ff88ed6e894312c05e4xb6","http://schema.org/ImageObject","","","""60""^^<http://www.w3.org/2001/XMLSchema#integer>","","","","","","","","","","<https://adria.ign.com/s/ign/ign_logo_micro.png>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""245""^^<http://www.w3.org/2001/XMLSchema#integer>",""
"https://adria.ign.com/spider-man-no-way-home/34871/news/tom-holland-ostaje-u-ulozi-spider-mana-nakon-nastavka-no-way-home","https://adria.ign.com/spider-man-no-way-home/34871/news/tom-holland-ostaje-u-ulozi-spider-mana-nakon-nastavka-no-way-home","http://schema.org/WebPage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://ae.kinoafisha.info/movies/8354073/","ndd84ffef96964c989bb3f9635c39bb09xb2","http://schema.org/Person","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""Sophia Lillis""","","","","","","","","","","","","","","","","","",""
"https://ae.kinoafisha.info/movies/8354073/","ndd84ffef96964c989bb3f9635c39bb09xb3","http://schema.org/Person","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""Michelle Rodriguez""","","","","","","","","","","","","","","","","","",""
"https://ae.kinoafisha.info/movies/8354073/","ndd84ffef96964c989bb3f9635c39bb09xb0","http://schema.org/Person","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://ae.kinoafisha.info/movies/8354073/","ndd84ffef96964c989bb3f9635c39bb09xb1","http://schema.org/Person","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""Chris Pine""","","","","","","","","","","","","","","","","","",""
"https://ae.kinoafisha.info/movies/8354073/","ndd84ffef96964c989bb3f9635c39bb09xb8","http://schema.org/Person","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""Jonathan Goldstein""","","","","","","","","","","","","","","","","","",""
"https://ae.kinoafisha.info/movies/8354073/","ndd84ffef96964c989bb3f9635c39bb09xb9","http://schema.org/ImageObject","","","","","","","","","","","","","<https://static.kinoafisha.info/k/movie_shots/1920x1080/upload/movie_shots/3/7/0/8354073/a6542adea9d728daf88de4084b5276e0.jpg>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://ae.kinoafisha.info/movies/8354073/","https://www.kinoafisha.info/en/movies/8354073/","http://schema.org/Movie","","","","","<https://www.imdb.com/title/tt2906216/>","","","","","","","""2023-03-01""^^<http://schema.org/Date>","<https://www.kinoafisha.info/en/movies/8354073/>","","","<https://www.kinoafisha.info/en/movies/8354073/>","","","","","","_:ndd84ffef96964c989bb3f9635c39bb09xb11","","","","","","","<https://ae.kinoafisha.info/movies/8354073/Fantasy>","""RARS 18TC""","","_:ndd84ffef96964c989bb3f9635c39bb09xb9","""A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.
""","","","","","","""2023-03-01""^^<http://schema.org/Date>","","""Dungeons & Dragons: Honor Among Thieves""","","_:ndd84ffef96964c989bb3f9635c39bb09xb6","","","","","","","","","","""Dungeons & Dragons: Honor Among Thieves""","""T2H14M0S""","","","","","_:ndd84ffef96964c989bb3f9635c39bb09xb7||||_:ndd84ffef96964c989bb3f9635c39bb09xb8","_:ndd84ffef96964c989bb3f9635c39bb09xb0||||_:ndd84ffef96964c989bb3f9635c39bb09xb1||||_:ndd84ffef96964c989bb3f9635c39bb09xb2||||_:ndd84ffef96964c989bb3f9635c39bb09xb3||||_:ndd84ffef96964c989bb3f9635c39bb09xb4||||_:ndd84ffef96964c989bb3f9635c39bb09xb5","_:ndd84ffef96964c989bb3f9635c39bb09xb10","","","","","""true""^^<http://www.w3.org/2001/XMLSchema#boolean>","","","","",""
"https://ae.kinoafisha.info/movies/8354073/","ndd84ffef96964c989bb3f9635c39bb09xb6","http://schema.org/AggregateRating","""65""^^<http://www.w3.org/2001/XMLSchema#integer>","","","","","","","","","","","","","","","","","","""1""^^<http://www.w3.org/2001/XMLSchema#integer>","","","","","","""10""^^<http://www.w3.org/2001/XMLSchema#integer>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""7.8""","",""
"https://ae.kinoafisha.info/movies/8354073/","ndd84ffef96964c989bb3f9635c39bb09xb7","http://schema.org/Person","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""John Francis Daley""","","","","","","","","","","","","","","","","","",""
"https://ae.kinoafisha.info/movies/8354073/","ndd84ffef96964c989bb3f9635c39bb09xb4","http://schema.org/Person","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""Hugh Grant""","","","","","","","","","","","","","","","","","",""
"https://ae.kinoafisha.info/movies/8354073/","ndd84ffef96964c989bb3f9635c39bb09xb5","http://schema.org/Person","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""Justice Smith""","","","","","","","","","","","","","","","","","",""
"https://ae.kinoafisha.info/movies/8354073/","ndd84ffef96964c989bb3f9635c39bb09xb11","http://schema.org/VideoObject","","","","","","","","","","","","","","","","","","","","","","","","","","","","""2023-07-18T15:56:01+03:00""^^<http://schema.org/Date>","","","","","""trailer in russian""","","<https://static.kinoafisha.info/k/trailers/1270/upload/trailers/86ce6c2b40854530fd74337a98369f6b.jpg>","","","","","","","","","","","","","","","","","","""Dungeons & Dragons: Honor Among Thieves""","""T2M4S""","","","","","","","","","","","","""true""^^<http://www.w3.org/2001/XMLSchema#boolean>","","","","","<https://api.kinoafisha.info/player/embed/d79459288f15b25f86ab7ea618c7c2d3/>"
"https://ae.kinoafisha.info/movies/8354073/","ndd84ffef96964c989bb3f9635c39bb09xb10","http://schema.org/VideoObject","","","","","","","","","","","","","","","","","","","","","","","","","","","","""2023-07-18T15:56:01+03:00""^^<http://schema.org/Date>","","","","","""trailer in russian""","","<https://static.kinoafisha.info/k/trailers/1270/upload/trailers/86ce6c2b40854530fd74337a98369f6b.jpg>","","","","","","","","","","","","","","","","","","""Dungeons & Dragons: Honor Among Thieves""","""T2M4S""","","","","","","","","","","","","""true""^^<http://www.w3.org/2001/XMLSchema#boolean>","","","","","<https://api.kinoafisha.info/player/embed/d79459288f15b25f86ab7ea618c7c2d3/>"
"https://animeguides.com/guides/dogtracer.html","n6efd775e180b4cc9a465fa76ecb29902xb3","http://schema.org/ListItem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""Dog Tracer""","","""https://animeguides.com/guides/dogtracer.html""","","","","","","","","","""3""^^<http://www.w3.org/2001/XMLSchema#integer>","","","","","","",""
"https://animeguides.com/guides/dogtracer.html","n6efd775e180b4cc9a465fa76ecb29902xb2","http://schema.org/ListItem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""Guides""","","""https:/guides.html""","","","","","","","","","""2""^^<http://www.w3.org/2001/XMLSchema#integer>","","","","","","",""
"https://animeguides.com/guides/dogtracer.html","n6efd775e180b4cc9a465fa76ecb29902xb1","http://schema.org/ListItem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""Accueil""","","""https://animeguides.com/""","","","","","","","","","""1""^^<http://www.w3.org/2001/XMLSchema#integer>","","","","","","",""
"https://animeguides.com/guides/dogtracer.html","n6efd775e180b4cc9a465fa76ecb29902xb0","http://schema.org/BreadcrumbList","","","","","","","","","","_:n6efd775e180b4cc9a465fa76ecb29902xb1||||_:n6efd775e180b4cc9a465fa76ecb29902xb2||||_:n6efd775e180b4cc9a465fa76ecb29902xb3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://animeguides.com/guides/dogtracer.html","nd09836ec50e7439b813d51074cf63a31xb0","http://schema.org/Organization","","","","","<https://www.facebook.com/AnimeGuides>||||<https://www.youtube.com/user/AnimeGuides>||||<https://www.instagram.com/animeguides_insta/?hl=fr>","","","","","","","","<https://animeguides.com>","","","","","","","","","","","","","","","","","","","","","_:nd09836ec50e7439b813d51074cf63a31xb1","","","","","","","","","","","","","","","","","","","""AnimeGuides""","","","","","","","","","","","","","","","","","",""
"https://animeguides.com/guides/dogtracer.html","nd09836ec50e7439b813d51074cf63a31xb1","http://schema.org/ImageObject","","","""100""^^<http://www.w3.org/2001/XMLSchema#integer>","","","","","","","","","","<https://animeguides.com/images/logo_animeguides.png>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""343""^^<http://www.w3.org/2001/XMLSchema#integer>",""
"https://animeguides.com/guides/dogtracer.html","https://animeguides.com/guides/dogtracer.html","http://schema.org/Movie","","","","","","","","""cat&eacute;gorie : S&eacute;rie TV, type : Animation, origine : France, &Eacute;tats-Unis, Ann&eacute;e : 1996, R&eacute;sum&eacute; : Ayant toujours besoin d'avoir quelqu'un d'habile &agrave; ses c&ocirc;t&eacute;s, le d&eacute;tective priv&eacute; Joe Kelly entra&icirc;ne Casey Sawyer dans toutes ses enqu&ecirc;tes polici&egrave;res.""","","","","""2003-06-21""^^<http://schema.org/Date>","<https://animeguides.com/guides/dogtracer.html>","","","","","","","","","","","","","","","","","","","<https://static.animeguides.com/guides/dogtracer/dog1.jpg>","""cat&eacute;gorie : S&eacute;rie TV, type : Animation, origine : France, &Eacute;tats-Unis, Ann&eacute;e : 1996, R&eacute;sum&eacute; : Ayant toujours besoin d'avoir quelqu'un d'habile &agrave; ses c&ocirc;t&eacute;s, le d&eacute;tective priv&eacute; Joe Kelly entra&icirc;ne Casey Sawyer dans toutes ses enqu&ecirc;tes polici&egrave;res.""","","","","","","","","","","","","","","","","","","","","""Dog Tracer""","","","","","","_:nd0e44fcb2cfb4e74b0f2d5016195273dxb0","","","","","","","","_:nd0e44fcb2cfb4e74b0f2d5016195273dxb1","","","",""
"https://animeguides.com/guides/dogtracer.html","nd0e44fcb2cfb4e74b0f2d5016195273dxb0","http://schema.org/Person","","","","","<https://animeguides.com/artistes/tf1.html>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""TF1""","","","","","","","","","","","","","","","","","",""
"https://animeguides.com/guides/dogtracer.html","nd0e44fcb2cfb4e74b0f2d5016195273dxb1","http://schema.org/Organization","","","","","<https://animeguides.com/artistes/tf1.html>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""TF1""","","","","","","","","","","","","","","","","","",""
"https://avday.tv/watch/long/9e8a460ab25e3eeb6212cd1f371cc500","n5765c6cae09141c5b5947c6d8acfb03fxb2","http://schema.org/Person","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://avday.tv/watch/long/9e8a460ab25e3eeb6212cd1f371cc500","n5765c6cae09141c5b5947c6d8acfb03fxb1","http://schema.org/Person","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://avday.tv/watch/long/9e8a460ab25e3eeb6212cd1f371cc500","n5765c6cae09141c5b5947c6d8acfb03fxb3","http://schema.org/Person","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""BBAN-437""","","","","","","","","","","","","","","","","","",""
"https://avday.tv/watch/long/9e8a460ab25e3eeb6212cd1f371cc500","n5765c6cae09141c5b5947c6d8acfb03fxb0","http://schema.org/Movie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<https://img.awvvvvw.live/data/adult-videos/BBAN-437/cover/BBAN-437.jpg>","","","","","","","""2023-09-09""^^<http://schema.org/Date>","","","","","","","","","","","","","","","","","","","","_:n5765c6cae09141c5b5947c6d8acfb03fxb3","_:n5765c6cae09141c5b5947c6d8acfb03fxb1||||_:n5765c6cae09141c5b5947c6d8acfb03fxb2","","","","","","","","","","",""
"https://baskino7.com/serial-hd/9775080~%D0%9C%D0%B8%D1%80%D0%B0+%D0%9C%D0%B8%D1%80%D0%B0","n73c85e37a83e49b194fe36263251bd45xb0","http://schema.org/VideoObject","","","","","","","","","","","","","","","","","","","","","","","","","","","","""2022-02-01MSK22:03:35""^^<http://schema.org/Date>","","","","","","","<https://baskino7.com/static/types/cinema/posters/73635.jpg>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<https://vdb9.awmzone1.pro/?r=Videodb/getPlayer&id=73635&b=>"
"https://baskino7.com/serial-hd/9775080~%D0%9C%D0%B8%D1%80%D0%B0+%D0%9C%D0%B8%D1%80%D0%B0","n0a58c2227cc54bf28bff54cff54f86a8xb0","http://schema.org/Movie","","","","","","","","","","","","""2022-02-01MSK22:03:35""^^<http://schema.org/Date>","<https://baskino7.com/serial-hd/9775080~Мира+Мира>","","","","","","","","","","","","","","","","","","","<https://baskino7.com/static/types/cinema/posters/73635.jpg>","","","","","","","","","","","_:n0a58c2227cc54bf28bff54cff54f86a8xb1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://baskino7.com/serial-hd/9775080~%D0%9C%D0%B8%D1%80%D0%B0+%D0%9C%D0%B8%D1%80%D0%B0","n0a58c2227cc54bf28bff54cff54f86a8xb1","http://schema.org/AggregateRating","""194""^^<http://www.w3.org/2001/XMLSchema#integer>","","","","","","","","","","","","","","","","","","""0""^^<http://www.w3.org/2001/XMLSchema#integer>","","","","","","""10""^^<http://www.w3.org/2001/XMLSchema#integer>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""6.5E0""^^<http://www.w3.org/2001/XMLSchema#double>","",""
"https://bmovies.vip/film/hello-and-goodbye-14470/","n13b76dcdf294426cafe76d8fd113c23dxb0","http://schema.org/Movie","","","","","","","","""Hello & Goodbye, Hello & Goodbye BMovies, Tybee Diskin, Peter Weidman""","","","","","<https://bmovies.vip/film/hello-and-goodbye-14470/>","","","","","","","","","","","","","","","","","","","<https://images.hdmz.co/images/cover/>","""With wounds still open from the recent end of their 5 year relationship, Drew and Beth decide to meet up for a quiet dinner at Drew's apartment to help solidify their newly found station as ""just friends"".""","","","","","","","","","","","","","","","","","","","","""Hello & Goodbye""","","","","","","","","_:n13b76dcdf294426cafe76d8fd113c23dxb1","","","","","","","","","",""
